17:12;нажата кнопка "Расчитать"
17:12;введено уравнение;12-5
17:15;нажата кнопка "Расчитать"
17:15;введено уравнение;12*5
17:16;нажата кнопка "Расчитать"
17:16;введено уравнение;55/5
17:16;показан результат вычислений;11.0
17:16;выход из приложения
17:17;нажата кнопка "Расчитать"
17:17;введено уравнение;12*6
17:17;show result of caculation;72
17:17;выход из приложения
17:19;button "calculate were pressed"
17:19;equation were inserted;12-4
17:19;show result of caculation;8
17:19;exit from app
